Brancas por região (milhões Kg),2015,2016,2017,2018,2019
BORBA,"7,073","7,799","6,089","7,554","5,122"
REDONDO,"2,516","2,392","2,278","2,529","2,024"
REGUENGOS,"5,890","4,873","5,451","6,073","4,266"
PORTALEGRE,"1,138","1,028","1,043","1,348","1,147"
VIDIGUEIRA,"7,925","7,363","6,094","9,094","7,624"
"ÉVORA","1,337","1,448","4,100","1,589","1,250"
GRANJA-AMARELEJA,"0,245","0,399","0,236","0,269","0,370"
MOURA,"0,406","0,447","0,422","0,787","0,650"
Soma D.O. Alentejo,"26,531","25,750","25,714","29,243","22,453"
I.G. ALENTEJANO,"5,396","5,791","5,523","6,831","6,313"
Total,"31,927","31,541","31,237","36,074","28,766"
